Frequency (Hz)	TL (dB)	Intensity Reception (W/m^2)	Intensity Emission (W/m^2)	Front Mic (Pa^2)	Rear Mic (Pa^2)	cDAQ1Mod2/ai0(Pa)^2	cDAQ1Mod2/ai1(Pa)^2	cDAQ1Mod2/ai2(Pa)^2	cDAQ1Mod2/ai3(Pa)^2	MeanEmission (Pa)^2	Phase (Rad)	ReRxy	ImRxy	Coherence	Acoustic Velocity Vb (m/s)^2
814.9999999999999990	19.1585258175106858	0.0000000040532708	0.0000003339321289	0.0000044137976197	0.0000058088761038	0.0012762722092828	0.0001234299183442	0.0007082420955707	0.0001296543747550	0.0005593996494881	-0.0608712483179056	0.0000050469128172	-0.0000003075918849	0.9971425880042002	0.0000000000198691
815.9999999999999990	18.6146840581702868	0.0000000025089234	0.0000001823710103	0.0000027859044246	0.0000037607625010	0.0006029692752592	0.0002657130948615	0.0002489151154968	0.0001044266374399	0.0003055060307643	-0.0589963553353414	0.0000032274516191	-0.0000001906290999	0.9976767019445038	0.0000000000145980
816.9999999999999990	19.2601455662534739	0.0000000025974682	0.0000002190608664	0.0000029716628354	0.0000040498870585	0.0005457408500619	0.0005710146038389	0.0002515189238452	0.0000995996152972	0.0003669684982608	-0.0570457156021374	0.0000034601064086	-0.0000001975986354	0.9980459096411876	0.0000000000163447
817.9999999999999990	19.4133242735806135	0.0000000028428849	0.0000002483657473	0.0000041115674656	0.0000055806222576	0.0004332898812205	0.0007164924117619	0.0004588634979192	0.0000555931363471	0.0004160597318122	-0.0452671458148853	0.0000047801808063	-0.0000002165330621	0.9979041366820375	0.0000000000210014
818.9999999999999990	17.5786150829310053	0.0000000039731918	0.0000002275102886	0.0000049277887314	0.0000067725849445	0.0002353125348131	0.0005098086320192	0.0006437444642224	0.0001356259009172	0.0003811228829930	-0.0525243566808634	0.0000057633460583	-0.0000003029947301	0.9980252759825391	0.0000000000279134
819.9999999999999990	16.5967917524855863	0.0000000060068929	0.0000002743652247	0.0000064451749320	0.0000090433135382	0.0001317482633431	0.0001236229764678	0.0012876134458534	0.0002954704645983	0.0004596137875656	-0.0601449754549516	0.0000076164380236	-0.0000004586436467	0.9988804198063383	0.0000000000423887
820.9999999999999990	17.2381559997768505	0.0000000067210039	0.0000003558358858	0.0000065386424539	0.0000091728209991	0.0001590834328168	0.0001413775835686	0.0014887866927405	0.0005951226772772	0.0005960925966008	-0.0664281526297589	0.0000077232004096	-0.0000005137938974	0.9988997916764232	0.0000000000439068
821.9999999999999990	16.4421330545652253	0.0000000054944287	0.0000002421786445	0.0000050508445611	0.0000070396417644	0.0000806648664385	0.0002672710554093	0.0005509414439713	0.0007239032788833	0.0004056951611756	-0.0706323445435012	0.0000059440069813	-0.0000004205387276	0.9986482079413150	0.0000000000331933
822.9999999999999990	16.0017666542336663	0.0000000048105793	0.0000001915905315	0.0000049840504878	0.0000069123971467	0.0002044834129905	0.0001960735306523	0.0005124850851496	0.0003707598806764	0.0003209504773672	-0.0629102192279840	0.0000058521330155	-0.0000003686454281	0.9980153079276288	0.0000000000307523
823.9999999999999990	17.8622075457525327	0.0000000031049968	0.0000001897937545	0.0000039941319273	0.0000054716449732	0.0003821716772806	0.0001983635506655	0.0005392674373875	0.0001519594747900	0.0003179405350309	-0.0510449106656646	0.0000046630507273	-0.0000002382319548	0.9975439656921001	0.0000000000217861
824.9999999999999990	19.5523023838439940	0.0000000039078215	0.0000003525047347	0.0000043715683975	0.0000061845037652	0.0004749555784301	0.0009526685542790	0.0007177225042478	0.0002167025097956	0.0005905122866881	-0.0578476178890547	0.0000051835824787	-0.0000003001928230	0.9971764232196174	0.0000000000295392
825.9999999999999990	20.3792496040318340	0.0000000052969965	0.0000005780356787	0.0000061228207559	0.0000086293780624	0.0004591409400931	0.0015795267900569	0.0013596893493243	0.0004749204891540	0.0009683193921571	-0.0561656079299629	0.0000072459261056	-0.0000004074003266	0.9968446791841065	0.0000000000401568
826.9999999999999990	21.6925682265197928	0.0000000044227487	0.0000006530539832	0.0000051934819866	0.0000072595797385	0.0002939107411029	0.0015294756746842	0.0016532587567621	0.0008993119480347	0.0010939892801460	-0.0555838721312223	0.0000061208682113	-0.0000003405723686	0.9967779480195151	0.0000000000323200
827.9999999999999990	22.7738265875529642	0.0000000025635769	0.0000004855444718	0.0000029742673572	0.0000041050262059	0.0000997380175003	0.0008342283912409	0.0013570320228683	0.0009625178827848	0.0008133790785986	-0.0566698510424930	0.0000034839427031	-0.0000001976461377	0.9973361042110223	0.0000000000171846
828.9999999999999990	22.5604875615168794	0.0000000018041982	0.0000003253366532	0.0000018509549420	0.0000024870908232	0.0000151550682861	0.0006268220658405	0.0005702929119630	0.0009677323440436	0.0005450005975333	-0.0650527602337754	0.0000021378215482	-0.0000001392677019	0.9969986734894833	0.0000000000093962
829.9999999999999990	21.8094969812044965	0.0000000017325179	0.0000002628012507	0.0000019130116225	0.0000025922977825	0.0000606029370843	0.0010786120426800	0.0001795322751497	0.0004422204965212	0.0004402419378588	-0.0602602219613138	0.0000022192723670	-0.0000001338959566	0.9967740448331872	0.0000000000099802
830.9999999999999990	21.1128383389363279	0.0000000027949840	0.0000003611296672	0.0000028174612589	0.0000038026023778	0.0001907167003151	0.0020092515221039	0.0001262399586346	0.0000936345567412	0.0006049606844487	-0.0662217065498538	0.0000032610401030	-0.0000002162678674	0.9969636460983163	0.0000000000147117
831.9999999999999990	19.9972883381799669	0.0000000031632193	0.0000003161244898	0.0000031666067586	0.0000043567990964	0.0002032099881427	0.0015060656512426	0.0003301532095025	0.0000788450572725	0.0005295684765401	-0.0661135282355074	0.0000037011827257	-0.0000002450553983	0.9972845016034374	0.0000000000184950
832.9999999999999990	20.6010208064078100	0.0000000032426849	0.0000003723975666	0.0000032468614346	0.0000045240545954	0.0001296072214579	0.0019238840385433	0.0004043765281408	0.0000374784241236	0.0006238365530664	-0.0657465661102604	0.0000038199873663	-0.0000002515135548	0.9977251075143729	0.0000000000203235
833.9999999999999990	21.7944500578800806	0.0000000042915364	0.0000006487207768	0.0000043063862062	0.0000061169356362	0.0002153615231307	0.0034109924298195	0.0006784580118950	0.0000421093857087	0.0010867303376385	-0.0650493797617051	0.0000051160427635	-0.0000003332656037	0.9978388895775894	0.0000000000298833
